ID,True Label,Predicted Label,Token
10,O,O,So
10,O,O,is
10,O,O,it
10,O,O,time
10,O,O,for
10,O,O,investors
10,O,O,in
10,B-ORG,B-ORG,GM
10,O,O,(
10,O,O,or
10,O,O,these
10,O,O,other
10,O,O,automakers
10,O,O,)
10,O,O,to
10,O,O,worry
10,O,O,?
11,O,O,The
11,O,B-ORG,Financial
11,O,I-ORG,Security
11,O,I-ORG,Index
11,O,O,by
11,B-ORG,B-ORG,Bankrate
11,O,O,slipped
11,O,O,for
11,O,O,a
11,O,O,third
11,O,O,consecutive
11,O,O,month
11,O,O,to
11,O,O,101.2
11,O,O,and
11,O,O,demonstrates
11,O,O,the
11,O,O,lowest
11,O,O,reading
11,O,O,since
11,O,O,October
11,O,O,2014
11,O,O,.
12,O,O,We
12,O,O,decided
12,O,O,to
12,O,O,get
12,O,O,together
12,O,O,with
12,B-PER,B-PER,Ron
12,O,O,from
12,B-ORG,B-ORG,Integratus
12,I-ORG,I-ORG,Solutions
12,O,O,and
12,O,O,learn
12,O,O,more
12,O,O,about
12,O,O,business
12,O,O,solutions
12,O,O,.
13,O,O,We
13,O,O,also
13,O,O,learn
13,O,O,in
13,O,O,the
13,O,O,first
13,O,O,chapter
13,O,O,(
13,O,O,spoiler
13,O,O,alert
13,O,O,)
13,O,O,that
13,O,B-PER,Scout
13,O,O,'s
13,O,O,brother
13,B-PER,B-PER,Jem
13,O,O,","
13,O,O,a
13,O,O,major
13,O,O,character
13,O,O,in
13,O,O,Mockingbird
13,O,O,","
13,O,O,""""
13,O,O,dropped
13,O,O,dead
13,O,O,in
13,O,O,his
13,O,O,tracks
13,O,O,one
13,O,O,day
13,O,O,.
13,O,O,""""
14,O,O,""""
14,O,O,However
14,O,O,","
14,O,O,it
14,O,O,'s
14,O,O,a
14,O,O,lot
14,O,O,worse
14,O,O,on
14,O,O,the
14,O,O,other
14,O,O,side
14,O,O,as
14,O,O,a
14,O,O,'
14,O,O,No
14,O,O,'
14,O,O,vote
14,O,O,will
14,O,O,present
14,O,O,a
14,O,O,host
14,O,O,of
14,O,O,uncertainties
14,O,O,that
14,O,O,could
14,O,O,really
14,O,O,rattle
14,O,O,markets
14,O,O,...
15,O,O,And
15,O,O,","
15,O,O,with
15,O,O,a
15,O,O,sound
15,O,O,strategy
15,O,O,and
15,O,O,improving
15,O,O,outlook
15,O,O,","
15,O,O,investor
15,O,O,sentiment
15,O,O,could
15,O,O,pick
15,O,O,up
15,O,O,and
15,O,O,push
15,B-ORG,B-ORG,Blinkx
15,O,O,'s
15,O,O,share
15,O,O,price
15,O,O,significantly
15,O,O,higher
15,O,O,.
16,O,O,The
16,O,O,class
16,O,O,action
16,O,O,includes
16,O,O,56
16,O,O,class
16,O,O,representatives
16,O,O,of
16,O,O,more
16,O,O,than
16,O,O,"25,000"
16,O,O,people
16,O,O,.
17,O,O,The
17,O,O,financial
17,O,O,sector
17,O,O,is
17,O,O,a
17,O,O,good
17,O,O,example
17,O,O,of
17,O,O,this
17,O,O,.
18,O,O,The
18,O,O,most
18,O,O,endangered
18,O,O,presidential
18,O,O,candidates
18,O,B-ORG,New
18,O,O,fundraising
18,O,O,data
18,O,O,show
18,O,O,half
18,O,O,a
18,O,O,dozen
18,O,O,may
18,O,O,have
18,O,O,to
18,O,O,drop
18,O,O,out
18,O,O,soon
18,O,O,.
19,O,O,We
19,O,O,leveraged
19,O,O,the
19,O,B-ORG,SAP
19,O,O,data
19,O,O,services
19,O,O,4.2
19,O,O,toolset
19,O,O,in
19,O,O,order
19,O,O,to
19,O,O,bring
19,O,O,the
19,O,O,data
19,O,B-ORG,from
19,O,O,SuccessFactors
19,O,B-ORG,&
19,O,O,ADP
19,O,O,into
19,O,O,their
19,O,O,on
19,O,O,-
19,O,O,premise
19,O,O,data
19,O,O,warehouse
19,O,O,conforming
19,O,O,with
19,O,O,business
19,O,O,&
19,O,O,data
19,O,O,governance
19,O,O,standards
19,O,O,.
20,O,O,There
20,O,O,'s
20,O,O,a
20,O,O,small
20,O,O,company
20,O,O,that
20,O,O,'s
20,O,O,powering
20,O,O,their
20,O,O,brand
20,O,O,-
20,O,O,new
20,O,O,gadgets
20,O,O,and
20,O,O,the
20,O,O,coming
20,O,O,revolution
20,O,O,in
20,O,O,technology
20,O,O,.
21,B-LOC,B-LOC,U.S
21,I-LOC,O,.
21,O,O,District
21,O,O,Judge
21,B-PER,B-PER,William
21,I-PER,I-PER,Pauley
21,O,O,sided
21,O,O,with
21,O,O,the
21,O,O,interns
21,O,O,in
21,O,O,June
21,O,O,2013
21,O,O,","
21,O,O,concluding
21,O,O,in
21,O,O,a
21,O,O,summary
21,O,O,judgment
21,O,B-ORG,that
21,O,O,“
21,B-ORG,O,Searchlight
21,O,O,received
21,O,O,the
21,O,O,benefits
21,O,O,of
21,O,O,[
21,O,O,the
21,O,O,interns
21,O,O,'
21,O,O,]
21,O,O,unpaid
21,O,O,work
21,O,O,","
21,O,O,which
21,O,O,otherwise
21,O,O,would
21,O,O,have
21,O,O,required
21,O,O,paid
21,O,O,employees
21,O,O,.
21,O,O,”
22,O,O,A
22,O,O,Sir
22,O,O,","
22,O,O,please
22,O,O,note
22,O,O,if
22,O,O,you
22,O,O,are
22,O,O,less
22,O,O,than
22,O,O,80
22,O,O,years
22,O,O,but
22,O,O,more
22,O,O,than
22,O,O,60
22,O,O,years
22,O,O,of
22,O,O,age
22,O,O,","
22,O,O,your
22,O,O,total
22,O,O,income
22,O,O,upto
22,O,O,Rs
22,O,O,"3,00,000"
22,O,O,is
22,O,O,exempt
22,O,O,from
22,O,O,tax
22,O,O,","
22,O,O,you
22,O,O,are
22,O,O,...
23,O,O,The
23,O,O,founders
23,O,O,of
23,O,B-LOC,Australian
23,O,O,software
23,O,O,giant
23,B-ORG,B-ORG,Atlassian
23,O,O,had
23,O,O,fiercely
23,O,O,lobbied
23,O,O,the
23,O,O,state
23,O,O,government
23,O,O,to
23,O,O,revitalise
23,O,O,the
23,O,O,existing
23,B-LOC,O,Australian
23,I-LOC,B-LOC,Technology
23,I-LOC,I-LOC,Park
23,O,I-LOC,at
23,O,O,nearby
23,B-LOC,O,Redfern
23,O,B-LOC,.
24,O,O,She
24,O,O,'s
24,O,O,not
24,O,O,sure
24,O,O,;
24,O,O,""""
24,O,O,she
24,O,O,'s
24,O,O,almost
24,O,O,in
24,O,O,love
24,O,O,with
24,O,O,him
24,O,O,","
24,O,O,""""
24,O,O,but
24,O,O,not
24,O,O,quite
24,O,O,.
25,O,O,Trading
25,O,O,on
25,O,O,the
25,O,O,stock
25,O,O,exchange
25,O,O,floor
25,O,O,was
25,O,O,halted
25,O,O,earlier
25,O,O,today
25,O,O,due
25,O,O,to
25,O,O,a
25,O,O,technical
25,O,O,issue
25,O,O,.
26,O,O,The
26,O,O,decision
26,O,O,could
26,O,O,have
26,O,O,a
26,O,O,chilling
26,O,O,effect
26,O,O,on
26,O,O,unpaid
26,O,O,internship
26,O,O,lawsuits
26,O,O,","
26,O,O,legal
26,O,O,experts
26,O,O,say
26,O,O,.
27,O,O,The
27,O,O,next
27,O,O,billion
27,O,O,-
27,O,O,dollar
27,O,O,iSecret
28,O,O,While
28,O,O,payrolls
28,O,O,grew
28,O,O,overall
28,O,O,","
28,O,O,many
28,O,O,people
28,O,O,gave
28,O,O,up
28,O,O,looking
28,O,O,for
28,O,O,work
28,O,O,and
28,O,O,wage
28,O,O,growth
28,O,O,stalled
28,O,O,.
29,O,O,A
29,O,O,strong
29,O,O,dollar
29,O,O,has
29,O,O,made
29,B-LOC,B-LOC,U.S
29,I-LOC,O,.
29,O,O,products
29,O,O,less
29,O,O,competitive
29,O,O,in
29,O,O,foreign
29,O,O,markets
29,O,O,","
29,O,O,hurting
29,O,B-MISC,American
29,O,O,manufacturers
29,O,O,.
30,O,O,The
30,O,O,author
30,O,O,is
30,O,O,a
30,B-ORG,B-ORG,Forbes
30,O,O,contributor
30,O,O,.
31,B-ORG,B-MISC,Brent
31,I-ORG,I-MISC,Crude
31,O,O,was
31,O,O,trading
31,O,O,at
31,O,O,more
31,O,O,than
31,O,O,$
31,O,O,53
31,O,O,-
31,O,O,per-
31,O,O,barrel
31,O,O,-
31,O,O,a
31,O,O,consequence
31,O,O,of
31,O,O,concerns
31,O,B-LOC,about
31,B-LOC,O,Russia
31,O,O,'s
31,O,O,military
31,O,B-LOC,action
31,O,O,in
31,B-LOC,O,Syria
31,O,O,leading
31,O,O,to
31,O,O,a
31,O,O,possible
31,O,O,wider
31,O,O,conflict
31,O,O,.
32,O,B-LOC,European
32,O,O,stocks
32,O,O,dipped
32,O,O,and
32,O,O,were
32,O,O,set
32,O,O,for
32,O,O,the
32,O,O,biggest
32,O,O,weekly
32,O,O,drop
32,O,O,in
32,O,O,two
32,O,O,months
32,O,O,","
32,O,O,while
32,O,O,the
32,O,O,euro
32,O,O,edged
32,O,O,higher
32,O,O,.
33,B-ORG,B-ORG,General
33,I-ORG,I-ORG,Motors
33,I-ORG,O,’
33,O,O,(
33,B-ORG,B-ORG,GM
33,O,O,)
33,O,B-LOC,North
33,O,I-LOC,American
33,O,O,operations
33,O,O,also
33,O,O,posted
33,O,O,a
33,O,O,record
33,O,O,adjusted
33,O,O,EBIT
33,O,O,(
33,O,O,earnings
33,O,O,before
33,O,O,interest
33,O,O,and
33,O,O,taxes
33,O,O,)
33,O,O,of
33,O,O,$
33,O,O,2.8
33,O,O,billion
33,O,O,in
33,O,O,2Q15
33,O,O,at
33,O,O,a
33,O,O,margin
33,O,O,of
33,O,O,10.5
33,O,O,%
33,O,O,.
34,O,O,All
34,O,O,mutual
34,O,O,fund
34,O,O,investing
34,O,O,involves
34,O,O,risk
34,O,O,","
34,O,O,including
34,O,O,loss
34,O,O,of
34,O,O,principal
34,O,O,.
35,O,O,By
35,B-PER,B-PER,Alan
35,I-PER,I-PER,Oscroft
35,O,O,|
35,O,B-ORG,Fool.co.uk
35,O,O,–
35,O,O,19
35,O,O,minutes
35,O,O,ago
35,O,O,"1,850.4999"
35,O,O,+18.9999
36,O,O,Compare
36,O,B-ORG,Brokers
36,B-PER,B-PER,John
36,I-PER,I-PER,-
36,I-PER,I-PER,Erik
36,I-PER,I-PER,Koslosky
36,O,O,Staff
36,O,O,Writer
37,O,O,""""
37,O,O,We
37,O,O,are
37,O,O,still
37,O,O,working
37,O,O,on
37,O,O,both
37,O,O,options
37,O,O,","
37,O,O,an
37,O,O,IPO
37,O,O,(
37,O,O,initial
37,O,O,public
37,O,O,offering
37,O,O,)
37,O,O,and
37,O,O,a
37,O,O,potential
37,O,O,sale
37,O,O,for
37,O,O,the
37,O,O,disposal
37,O,B-ORG,of
37,B-ORG,O,Union
37,O,B-LOC,and
37,B-LOC,O,Rustenburg
37,O,O,.
38,O,O,Try
38,O,O,any
38,O,O,of
38,O,O,our
38,O,B-ORG,Foolish
38,O,O,newsletter
38,O,O,services
38,O,O,free
38,O,O,for
38,O,O,30
38,O,O,days
38,O,O,.
39,O,O,This
39,O,O,is
39,O,O,done
39,O,O,using
39,O,O,simple
39,O,O,text
39,O,O,files
39,O,O,called
39,O,O,cookies
39,O,O,which
39,O,O,sit
39,O,O,on
39,O,O,your
39,O,O,computer
39,O,O,.
40,O,O,But
40,O,O,at
40,O,O,the
40,O,O,end
40,O,O,of
40,O,B-DATE,January
40,O,O,we
40,O,O,received
40,O,O,a
40,O,O,shock
40,O,O,set
40,O,O,of
40,O,O,GDP
40,O,O,figures
40,O,O,showing
40,O,O,a
40,O,O,decline
40,O,O,of
40,O,O,0.5
40,O,O,pc
40,O,O,in
40,O,O,the
40,O,O,final
40,O,O,quarter
40,O,B-DATE,of
40,O,O,2010
40,O,O,.
41,O,O,GOLD
41,O,O,</
41,O,O,span
41,O,O,>
41,O,O,</div
41,O,O,>
41,O,O,<
41,O,O,div
41,O,O,"class="""
41,O,O,searchListCompName
41,O,O,""""
41,O,O,>
41,O,O,Ran
41,O,O,<
41,O,O,span
41,O,O,class=
41,O,O,""""
41,O,O,searchTerm
41,O,O,""""
41,O,O,>
41,O,O,gold</
41,O,O,span>
42,O,O,Not
42,O,O,only
42,O,O,can
42,O,O,he
42,O,O,not
42,O,O,make
42,O,O,a
42,O,B-MISC,Captain
42,O,I-MISC,'s
42,O,O,Pick
42,O,O,for
42,O,O,Speaker
42,O,O,this
42,O,O,time
42,O,O,round
42,O,O,","
42,O,O,he
42,O,O,has
42,O,O,to
42,O,O,make
42,O,O,a
42,O,O,virtue
42,O,O,of
42,O,O,being
42,O,O,at
42,O,O,the
42,O,O,mercy
42,O,O,of
42,O,O,his
42,O,O,party
42,O,O,room
42,O,O,in
42,O,O,the
42,O,O,decision
42,O,O,about
42,O,O,who
42,O,O,gets
42,O,O,this
42,O,O,plum
42,O,O,job
42,O,O,.
43,B-ORG,B-ORG,Copperbelt
43,I-ORG,I-ORG,Energy
43,O,O,buys
43,O,O,electricity
43,O,O,from
43,O,O,state
43,O,O,power
43,O,O,company
43,B-ORG,B-ORG,Zesco
43,I-ORG,I-ORG,Ltd
43,O,O,and
43,O,O,supplies
43,O,O,it
43,O,O,to
43,O,O,companies
43,O,O,including
43,B-ORG,O,Vedanta
43,I-ORG,B-ORG,Resources
43,O,I-ORG,","
43,B-ORG,O,Glencore
43,O,B-ORG,and
43,B-ORG,O,Vale
43,O,B-ORG,.
44,O,O,""""
44,O,O,It
44,O,O,'s
44,O,O,almost
44,O,O,as
44,O,O,if
44,O,O,the
44,O,B-ORG,CFMEU
44,O,O,…
44,O,O,wants
44,O,O,to
44,O,O,hold
44,O,O,the
44,O,O,rest
44,O,O,of
44,O,O,the
44,O,O,nation
44,O,O,…
44,O,O,to
44,O,O,ransom
44,O,O,for
44,O,O,their
44,O,O,short
44,O,O,-
44,O,O,term
44,O,O,political
44,O,O,gain
44,O,O,","
44,O,O,""""
44,O,O,he
44,O,O,said
44,O,O,.
45,B-PER,B-PER,Zurbruegg
45,O,O,laid
45,O,O,some
45,O,O,responsibility
45,O,O,for
45,O,O,the
45,O,O,franc
45,O,O,'s
45,O,O,surge
45,O,B-MISC,on
45,O,O,Swiss
45,O,O,investors
45,O,O,who
45,O,O,have
45,O,O,sharply
45,O,O,scaled
45,O,O,back
45,O,O,foreign
45,O,O,investment
45,O,O,.
46,O,O,8
46,O,O,
46,O,O,4:25
46,O,O,Now
46,O,O,watching
46,O,O,Up
46,O,O,next
46,O,O,Want
46,O,O,your
46,O,O,startup
46,O,O,to
46,O,O,succeed
46,O,O,?
47,B-ORG,B-ORG,Labour
47,O,O,'s
47,B-PER,B-PER,David
47,I-PER,I-PER,Shearer
47,O,O,says
47,O,O,the
47,O,O,four
47,O,B-LOC,Australian
47,O,O,-
47,O,O,owned
47,O,O,banks
47,O,O,-
47,B-ORG,B-ORG,ANZ
47,O,O,","
47,B-ORG,B-ORG,Westpac
47,O,O,","
47,B-ORG,B-ORG,BNZ
47,O,O,and
47,B-ORG,B-ORG,ASB
47,O,O,-
47,O,O,made
47,O,O,a
47,O,O,total
47,O,O,$
47,O,O,NZ4.4
47,O,O,billion
47,O,O,(
47,O,O,$
47,O,O,A3.89
47,O,O,billion
47,O,O,)
47,O,O,profit
47,O,O,last
47,O,O,year
47,O,O,","
47,O,O,double
47,O,O,what
47,O,O,they
47,O,O,achieved
47,O,O,10
47,O,O,years
47,O,O,ago
47,O,O,.
48,O,O,The
48,O,O,percentage
48,O,O,of
48,O,O,consumers
48,O,O,describing
48,O,O,current
48,O,O,business
48,O,O,conditions
48,O,O,as
48,O,O,“
48,O,O,good
48,O,O,”
48,O,O,slipped
48,O,O,to
48,O,O,24.2
48,O,O,percent
48,O,O,from
48,O,O,26.1
48,O,O,percent
48,O,B-LOC,in
48,O,O,June
48,O,O,.
49,O,O,Back
49,O,O,in
49,O,B-DATE,August
49,O,O,","
49,O,O,former
49,O,B-TITLE,Prime
49,O,I-TITLE,Minister
49,B-PER,B-PER,Tony
49,I-PER,I-PER,Abbott
49,O,O,tried
49,O,O,to
49,O,O,assuage
49,O,O,tensions
49,O,O,after
49,O,O,a
49,O,O,marathon
49,O,O,party
49,O,O,room
49,O,O,meeting
49,O,O,by
49,O,O,saying
49,O,O,the
49,O,O,party
49,O,O,will
49,O,O,maintain
49,O,O,it
49,O,O,'s
49,O,O,position
49,O,O,on
49,O,O,gay
49,O,O,marriage
49,O,O,up
49,O,O,until
49,O,O,the
49,O,O,2016
49,O,O,election
49,O,O,","
49,O,O,and
49,O,O,promising
49,O,O,to
49,O,O,allow
49,O,O,a
49,O,O,plebiscite
49,O,O,in
49,O,O,the
49,O,O,next
49,O,O,term
49,O,O,of
49,O,O,Parliament
49,O,B-DATE,.
50,O,O,Ninety
50,O,O,-
50,O,O,six
50,B-ORG,O,House
50,O,B-ORG,Democrats
50,O,O,have
50,O,O,signed
50,O,O,onto
50,O,O,a
50,O,O,letter
50,O,O,calling
50,O,O,for
50,O,B-PER,President
50,B-PER,I-PER,Obama
50,O,O,to
50,O,O,make
50,O,O,significant
50,O,O,changes
50,O,O,to
50,O,O,his
50,O,O,regulatory
50,O,O,proposal
50,O,O,for
50,O,O,financial
50,O,O,advisers
50,O,O,","
50,O,O,writing
50,O,O,that
50,O,O,they
50,O,O,'re
50,O,O,concerned
50,O,O,the
50,O,O,current
50,O,O,pitch
50,O,O,would
50,O,O,limit
50,O,O,low
50,O,O,-
50,O,O,and
50,O,O,middle
50,O,O,-
50,O,O,income
50,O,O,Americans
50,O,O,'
50,O,O,access
50,O,O,to
50,O,O,financial
50,O,O,advice
50,O,O,.
51,O,O,The
51,O,O,giant
51,O,O,automaker
51,O,O,says
51,O,O,battery
51,O,O,breakthroughs
51,O,O,for
51,O,O,electric
51,O,O,cars
51,O,O,are
51,O,O,happening
51,O,O,faster
51,O,O,than
51,O,O,expected
51,O,O,.
52,O,O,There
52,O,O,is
52,O,O,still
52,O,O,great
52,O,O,uncertainty
52,O,O,on
52,O,O,both
52,O,O,sides
52,O,O,of
52,O,O,the
52,B-LOC,B-LOC,Atlantic
52,O,O,about
52,O,O,the
52,O,O,approach
52,O,O,to
52,O,O,raising
52,O,O,interest
52,O,O,rates
52,O,O,and
52,O,O,the
52,O,O,timing
52,O,O,of
52,O,O,the
52,O,O,first
52,O,O,move
52,O,O,.
53,O,O,They
53,O,O,are
53,O,O,amplifying
53,O,O,simmering
53,O,O,concerns
53,O,O,among
53,O,O,swathes
53,O,O,of
53,B-LOC,B-LOC,Canning
53,O,O,'s
53,O,O,tradies
53,O,O,and
53,O,O,about
53,O,O,"10,000"
53,O,O,fly
53,O,O,-
53,O,O,in
53,O,O,","
53,O,O,fly
53,O,O,-
53,O,O,out
53,O,O,workers
53,O,O,.
54,O,O,(
54,O,O,Adds
54,O,O,details
54,O,O,on
54,O,O,foreign
54,O,O,investments
54,O,O,","
54,O,O,background
54,O,B-LOC,)
54,B-LOC,O,BRASILIA
54,O,O,Oct
54,O,O,23
54,O,B-ORG,(
54,O,O,Reuters
54,O,O,)
54,O,B-LOC,-
54,B-LOC,O,Brazil
54,O,O,'s
54,O,O,current
54,O,O,account
54,O,O,deficit
54,O,O,grew
54,O,O,wider
54,O,O,than
54,O,O,expected
54,O,O,in
54,O,O,September
54,O,O,but
54,O,O,was
54,O,O,easily
54,O,O,covered
54,O,O,by
54,O,O,foreign
54,O,O,investments
54,O,O,","
54,O,O,central
54,O,O,bank
54,O,O,data
54,O,O,showed
54,O,O,on
54,O,O,Friday
54,O,O,.
55,O,B-PER,PM
55,O,O,naysays
55,O,B-ORG,IR
55,O,O,reform
56,O,O,Over
56,O,O,"8,400"
56,O,O,high
56,O,O,-
56,O,O,resolution
56,O,O,photographs
56,O,O,captured
56,O,O,during
56,B-ORG,B-ORG,NASA
56,O,O,’s
56,O,B-LOC,Apollo
56,O,O,moon
56,O,O,landings
56,O,O,have
56,O,O,been
56,O,O,released
56,O,B-ORG,on
56,B-ORG,O,Flickr
56,O,O,","
56,O,O,featuring
56,O,O,every
56,O,O,single
56,O,O,image
56,O,O,taken
56,O,O,by
56,O,O,astronauts
56,O,O,.
57,O,O,The
57,O,O,beneficiary
57,O,O,could
57,O,O,also
57,O,O,be
57,O,O,the
57,O,O,estate
57,O,O,of
57,O,O,the
57,O,O,annuitant
57,O,O,","
57,O,O,either
57,O,O,by
57,O,O,actually
57,O,O,declaring
57,O,O,""""
57,O,O,estate
57,O,O,""""
57,O,O,as
57,O,O,beneficiary
57,O,O,on
57,O,O,the
57,O,O,plan
57,O,O,","
57,O,O,or
57,O,O,by
57,O,O,default
57,O,O,","
57,O,O,if
57,O,O,no
57,O,O,beneficiary
57,O,O,is
57,O,O,named
57,O,O,.
58,O,O,(
58,O,O,i.e.
58,O,O,if
58,O,O,it
58,O,O,’s
58,O,O,a
58,O,O,financial
58,O,O,data
58,O,O,warehouse
58,O,O,how
58,O,O,difficult
58,O,O,is
58,O,O,it
58,O,O,to
58,O,O,incorporate
58,O,O,data
58,O,O,from
58,O,O,sales
58,O,O,HR
58,O,O,etc.
58,O,O,)
59,O,O,The
59,O,O,40
59,O,O,-
59,O,O,year
59,O,O,-
59,O,O,old
59,O,O,decided
59,O,O,not
59,O,O,to
59,O,O,replace
59,O,O,the
59,O,O,cabinet
59,O,O,rebels
59,O,O,with
59,O,O,technocrats
59,O,O,","
59,O,O,sticking
59,O,O,instead
59,O,O,with
59,O,O,members
59,O,O,of
59,O,O,his
59,O,O,own
59,O,O,coalition
59,O,O,","
59,O,O,including
59,O,O,a
59,O,O,TV
59,O,O,soap
59,O,O,opera
59,O,O,comedian
59,O,O,as
59,O,O,junior
59,O,O,labour
59,O,O,minister
59,O,O,--
59,O,O,a
59,O,O,decision
59,O,O,which
59,O,O,raised
59,O,O,some
59,O,O,eyebrows
59,O,O,.
60,O,O,Even
60,O,O,if
60,O,O,you
60,O,O,have
60,O,O,tinkered
60,O,O,with
60,O,O,your
60,O,O,withholdings
60,O,O,","
60,O,O,make
60,O,O,sure
60,O,B-ORG,the
60,B-ORG,O,IRS
60,O,O,is
60,O,O,getting
60,O,O,enough
60,O,O,of
60,O,O,a
60,O,O,cut
60,O,O,to
60,O,O,keep
60,O,O,them
60,O,O,from
60,O,O,looking
60,O,O,for
60,O,O,more
60,O,O,after
60,O,O,you
60,O,O,'re
60,O,O,filed
60,O,O,.
61,O,O,These
61,O,O,dry
61,O,O,facts
61,O,O,hardly
61,O,O,take
61,O,O,away
61,O,O,from
61,O,O,the
61,O,O,moment
